
Netlist successfully made
Pattern routing successfully performed
Batches for maze routing 
batches are cleared
pshed back 1
pshed back 2
pshed back 3
pshed back 4
pshed back 5
pshed back 6
pshed back 7
pshed back 8
pshed back 9
pshed back 10
pshed back 11
pshed back 12
pshed back 13
pshed back 14
pshed back 15
pshed back 16
pshed back 17
pshed back 18
pshed back 19
pshed back 20
pshed back 21
pshed back 22
pshed back 23
pshed back 24
pshed back 25
pshed back 26
pshed back 27
pshed back 28
pshed back 29
pshed back 30
pshed back 31
pshed back 32
pshed back 33
pshed back 34
pshed back 35
pshed back 36
pshed back 37
pshed back 38
pshed back 39
pshed back 40
pshed back 41
pshed back 42
pshed back 43
pshed back 44
pshed back 45
pshed back 46
pshed back 47
pshed back 48
pshed back 49
pshed back 50
pshed back 51
pshed back 52
pshed back 53
pshed back 54
pshed back 55
pshed back 56
pshed back 57
pshed back 58
pshed back 59
pshed back 60
pshed back 61
pshed back 62
pshed back 63
pshed back 64
pshed back 65
pshed back 66
pshed back 67
pshed back 68
pshed back 69
pshed back 70
pshed back 71
pshed back 72
pshed back 73
pshed back 74
pshed back 75
pshed back 76
pshed back 77
pshed back 78
pshed back 79
pshed back 80
pshed back 81
pshed back 82
pshed back 83
pshed back 84
pshed back 85
pshed back 86
pshed back 87
pshed back 88
pshed back 89
pshed back 90
pshed back 91
pshed back 92
pshed back 93
pshed back 94
pshed back 95
pshed back 96
pshed back 97
pshed back 98
pshed back 99
pshed back 100
pshed back 101
pshed back 102
pshed back 103
pshed back 104
pshed back 105
pshed back 106
pshed back 107
pshed back 108
pshed back 109
pshed back 110
pshed back 111
pshed back 112
pshed back 113
pshed back 114
pshed back 115
pshed back 116
pshed back 117
pshed back 118
pshed back 119
pshed back 120
pshed back 121
pshed back 122
pshed back 123
pshed back 124
pshed back 125
pshed back 126
pshed back 127
pshed back 128
pshed back 129
pshed back 130
pshed back 131
pshed back 132
pshed back 133
pshed back 134
pshed back 135
pshed back 136
pshed back 137
pshed back 138
pshed back 139
pshed back 140
pshed back 141
pshed back 142
pshed back 143
pshed back 144
pshed back 145
pshed back 146
pshed back 147
pshed back 148
pshed back 149
pshed back 150
pshed back 151
pshed back 152
pshed back 153
pshed back 154
pshed back 155
pshed back 156
pshed back 157
pshed back 158
pshed back 159
pshed back 160
pshed back 161
pshed back 162
pshed back 163
pshed back 164
pshed back 165
pshed back 166
pshed back 167
pshed back 168
pshed back 169
pshed back 170
pshed back 171
pshed back 172
pshed back 173
pshed back 174
pshed back 175
pshed back 176
pshed back 177
pshed back 178
pshed back 179
pshed back 180
pshed back 181
pshed back 182
pshed back 183
pshed back 184
pshed back 185
pshed back 186
pshed back 187
pshed back 188
pshed back 189
pshed back 190
pshed back 191
pshed back 192
pshed back 193
pshed back 194
pshed back 195
pshed back 196
pshed back 197
pshed back 198
pshed back 199
pshed back 200
pshed back 201
pshed back 202
pshed back 203
pshed back 204
pshed back 205
pshed back 206
pshed back 207
pshed back 208
pshed back 209
pshed back 210
pshed back 211
pshed back 212
pshed back 213
pshed back 214
pshed back 215
pshed back 216
pshed back 217
pshed back 218
pshed back 219
pshed back 220
pshed back 221
pshed back 222
pshed back 223
pshed back 224
pshed back 225
pshed back 226
pshed back 227
pshed back 228
pshed back 229
pshed back 230
pshed back 231
pshed back 232
pshed back 233
pshed back 234
pshed back 235
pshed back 236
pshed back 237
pshed back 238
pshed back 239
pshed back 240
pshed back 241
pshed back 242
pshed back 243
pshed back 244
pshed back 245
pshed back 246
pshed back 247
pshed back 248
pshed back 249
pshed back 250
pshed back 251
pshed back 252
pshed back 253
pshed back 254
pshed back 255
pshed back 256
pshed back 257
pshed back 258
pshed back 259
pshed back 260
pshed back 261
pshed back 262
pshed back 263
pshed back 264
pshed back 265
pshed back 266
pshed back 267
pshed back 268
pshed back 269
pshed back 270
pshed back 271
pshed back 272
pshed back 273
pshed back 274
pshed back 275
pshed back 276
pshed back 277
pshed back 278
pshed back 279
pshed back 280
pshed back 281
pshed back 282
pshed back 283
pshed back 284
pshed back 285
pshed back 286
pshed back 287
pshed back 288
pshed back 289
pshed back 290
pshed back 291
pshed back 292
pshed back 293
pshed back 294
pshed back 295
pshed back 296
pshed back 297
pshed back 298
pshed back 299
pshed back 300
pshed back 301
pshed back 302
pshed back 303
pshed back 304
pshed back 305
pshed back 306
pshed back 307
pshed back 308
pshed back 309
pshed back 310
pshed back 311
pshed back 312
pshed back 313
pshed back 314
pshed back 315
pshed back 316
pshed back 317
pshed back 318
pshed back 319
pshed back 320
pshed back 321
pshed back 322
pshed back 323
pshed back 324
pshed back 325
pshed back 326
pshed back 327
pshed back 328
pshed back 329
pshed back 330
pshed back 331
pshed back 332
pshed back 333
pshed back 334
pshed back 335
pshed back 336
pshed back 337
pshed back 338
pshed back 339
pshed back 340
pshed back 341
pshed back 342
pshed back 343
pshed back 344
pshed back 345
pshed back 346
pshed back 347
pshed back 348
pshed back 349
pshed back 350
pshed back 351
pshed back 352
pshed back 353
pshed back 354
